   1   1   1     6,66096     8,89715
   0   0   2     5,76856    10,27700
   0   2   2     4,07899    14,55349
   3   1   1     3,47857    17,08284
   2   2   2     3,33048    17,84851
   0   0   4     2,88428    20,63784
   3   3   1     2,64680    22,51272
   0   4   2     2,57978    23,10552
   4   2   2     2,35500    25,34583
   3   3   3     2,22032    26,91134
   5   1   1     2,22032    26,91134
   0   4   4     2,03949    29,34859
   5   3   1     1,95013    30,72589
   4   4   2     1,92285    31,17274
   0   0   6     1,92285    31,17274
   0   6   2     1,82418    32,90553
   5   3   3     1,75939    34,15365
   6   2   2     1,73929    34,56085
   4   4   4     1,66524    36,14947
   5   5   1     1,61552    37,30237
   7   1   1     1,61552    37,30237
   0   6   4     1,59991    37,67994
   6   4   2     1,54171    39,15920
   5   5   3     1,50200    40,23852
   7   3   1     1,50200    40,23852
   0   0   8     1,44214    41,98604
   7   3   3     1,40948    43,00658
   6   4   4     1,39908    43,34244
   0   8   2     1,39908    43,34244
   0   6   6     1,35966    44,66563
   8   2   2     1,35966    44,66563
   5   5   5     1,33219    45,63803
   7   5   1     1,33219    45,63803
   6   6   2     1,32340    45,95859
   0   8   4     1,28989    47,22393
   7   5   3     1,26636    48,15618
   9   1   1     1,26636    48,15618
   8   4   2     1,25880    48,46392
   6   6   4     1,22986    49,68058
   9   3   1     1,20942    50,57884
   8   4   4     1,17750    52,05086
   7   5   5     1,15952    52,92001
   7   7   1     1,15952    52,92001
   9   3   3     1,15952    52,92001
   0   8   6     1,15371    53,20752
   0   0  10     1,15371    53,20752
   8   6   2     1,13131    54,34697
   0  10   2     1,13131    54,34697
   7   7   3     1,11534    55,19098
   9   5   1     1,11534    55,19098
   6   6   6     1,11016    55,47039
  10   2   2     1,11016    55,47039
   9   5   3     1,07584    57,40098
   8   6   4     1,07119    57,67335
   0  10   4     1,07119    57,67335
  10   4   2     1,05319    58,75476
   7   7   5     1,04027    59,55774
  11   1   1     1,04027    59,55774
   0   8   8     1,01975    60,88162
   9   5   5     1,00800    61,66778
   9   7   1     1,00800    61,66778
  11   3   1     1,00800    61,66778
   8   8   2     1,00418    61,92854
  10   4   4     1,00418    61,92854
   8   6   6     0,98930    62,96535
   0  10   6     0,98930    62,96535
   9   7   3     0,97857    63,73671
  11   3   3     0,97857    63,73671
  10   6   2     0,97506    63,99268
   8   8   4     0,96143    65,01110
   0   0  12     0,96143    65,01110
   7   7   7     0,95157    65,76939
  11   5   1     0,95157    65,76939
   0  12   2     0,94835    66,02115
  10   6   4     0,93578    67,02334
  12   2   2     0,93578    67,02334
   9   7   5     0,92668    67,77011
  11   5   3     0,92668    67,77011
   0  12   4     0,91209    69,00603
   9   9   1     0,90366    69,74266
   8   8   6     0,90090    69,98742
  12   4   2     0,90090    69,98742
   0  10   8     0,90090    69,98742
  10   8   2     0,89011    70,96273
  11   5   5     0,88227    71,69045
   9   9   3     0,88227    71,69045
  11   7   1     0,88227    71,69045
  13   1   1     0,88227    71,69045
  10   6   6     0,87970    71,93234
  12   4   4     0,86964    72,89663
   9   7   7     0,86232    73,61656
  11   7   3     0,86232    73,61656
  13   3   1     0,86232    73,61656
  10   8   4     0,85993    73,85594
   0  12   6     0,85993    73,85594
  12   6   2     0,85053    74,81063
   9   9   5     0,84368    75,52381
  13   3   3     0,84368    75,52381
   8   8   8     0,83262    76,70743
  11   7   5     0,82619    77,41480
  13   5   1     0,82619    77,41480
  12   6   4     0,82408    77,65015
   0   0  14     0,82408    77,65015
  10   8   6     0,81580    78,58950
   0  10  10     0,81580    78,58950
   0  14   2     0,81580    78,58950
  11   9   1     0,80975    79,29195
  13   5   3     0,80975    79,29195
  10  10   2     0,80776    79,52574
  14   2   2     0,80776    79,52574
   0  12   8     0,79996    80,45916
   9   9   7     0,79425    81,15754
  11   9   3     0,79425    81,15754
  12   8   2     0,79237    81,39004
   0  14   4     0,79237    81,39004
  12   6   6     0,78500    82,31863
  10  10   4     0,78500    82,31863
  14   4   2     0,78500    82,31863
  11   7   7     0,77961    83,01372
  13   5   5     0,77961    83,01372
  13   7   1     0,77961    83,01372
  12   8   4     0,77086    84,16998
  11   9   5     0,76575    84,86256
  13   7   3     0,76575    84,86256
  15   1   1     0,76575    84,86256
  10   8   8     0,76406    85,09325
  14   4   4     0,76406    85,09325
   0  14   6     0,75745    86,01525
  15   3   1     0,75260    86,70605
  10  10   6     0,75100    86,93621
  14   6   2     0,75100    86,93621
   9   9   9     0,74011    88,54613
  13   7   5     0,74011    88,54613
  11  11   1     0,74011    88,54613
  15   3   3     0,74011    88,54613
  12   8   6     0,73859    88,77600
   0  12  10     0,73859    88,77600
  14   6   4     0,73261    89,69530
  12  10   2     0,73261    89,69530
  11   9   7     0,72822    90,38471
  11  11   3     0,72822    90,38471
  13   9   1     0,72822    90,38471
  15   5   1     0,72822    90,38471
   0   0  16     0,72107    91,53391
  13   9   3     0,71688    92,22369
  15   5   3     0,71688    92,22369
  12  10   4     0,71550    92,45369
   0  14   8     0,71550    92,45369
   0  16   2     0,71550    92,45369
  10  10   8     0,71006    93,37410
  14   8   2     0,71006    93,37410
  16   2   2     0,71006    93,37410
  11  11   5     0,70606    94,06497
  13   7   7     0,70606    94,06497
  14   6   6     0,70474    94,29538
  12   8   8     0,69954    95,21778
   0  16   4     0,69954    95,21778
  13   9   5     0,69571    95,91045
  15   5   5     0,69571    95,91045
  15   7   1     0,69571    95,91045
  14   8   4     0,69445    96,14153
  16   4   2     0,69445    96,14153
  12  10   6     0,68947    97,06690
  11   9   9     0,68581    97,76212
  15   7   3     0,68581    97,76212
   0  12  12     0,67983    98,92344
  16   4   4     0,67983    98,92344
  11  11   7     0,67632    99,62199
  13  11   1     0,67632    99,62199
  17   1   1     0,67632    99,62199
  12  12   2     0,67516    99,85515
   0  16   6     0,67516    99,85515
  14   8   6     0,67058   100,78949
   0  14  10     0,67058   100,78949
  16   6   2     0,67058   100,78949
  13   9   7     0,66721   101,49215
  15   7   5     0,66721   101,49215
  13  11   3     0,66721   101,49215
  17   3   1     0,66721   101,49215
  10  10  10     0,66610   101,72675
  14  10   2     0,66610   101,72675
  12  12   4     0,66170   102,66720
  15   9   1     0,65846   103,37480
  17   3   3     0,65846   103,37480
  12  10   8     0,65739   103,61113
  16   6   4     0,65739   103,61113
  14  10   4     0,65316   104,55884
  13  11   5     0,65004   105,27230
  15   9   3     0,65004   105,27230
  17   5   1     0,65004   105,27230
   0  16   8     0,64494   106,46686
  11  11   9     0,64194   107,18711
  15   7   7     0,64194   107,18711
  17   5   3     0,64194   107,18711
  14   8   8     0,64095   107,42781
  12  12   6     0,64095   107,42781
  16   8   2     0,64095   107,42781
   0   0  18     0,64095   107,42781
  16   6   6     0,63703   108,39385
   0  18   2     0,63703   108,39385
  13   9   9     0,63414   109,12194
  15   9   5     0,63414   109,12194
  14  10   6     0,63318   109,36534
  18   2   2     0,63318   109,36534
  16   8   4     0,62940   110,34265
  13  11   7     0,62661   111,07970
  17   5   5     0,62661   111,07970
  13  13   1     0,62661   111,07970
  17   7   1     0,62661   111,07970
   0  14  12     0,62569   111,32619
   0  18   4     0,62569   111,32619
  12  10  10     0,62204   112,31636
  14  12   2     0,62204   112,31636
  18   4   2     0,62204   112,31636
  13  13   3     0,61934   113,06360
  15  11   1     0,61934   113,06360
  17   7   3     0,61934   113,06360
  12  12   8     0,61493   114,31838
  15   9   7     0,61233   115,07721
  15  11   3     0,61233   115,07721
  16   8   6     0,61147   115,33119
  14  12   4     0,61147   115,33119
   0  16  10     0,61147   115,33119
  18   4   4     0,61147   115,33119
  14  10   8     0,60806   116,35255
  16  10   2     0,60806   116,35255
   0  18   6     0,60806   116,35255
  11  11  11     0,60554   117,12451
  13  13   5     0,60554   117,12451
  17   7   5     0,60554   117,12451
  19   1   1     0,60554   117,12451
  18   6   2     0,60471   117,38301
  13  11   9     0,59898   119,21002
  15  11   5     0,59898   119,21002
  17   9   1     0,59898   119,21002
  19   3   1     0,59898   119,21002
  16  10   4     0,59817   119,47364
  14  12   6     0,59498   120,53511
  18   6   4     0,59498   120,53511
  17   9   3     0,59262   121,33888
  19   3   3     0,59262   121,33888
  16   8   8     0,58875   122,69404
  13  13   7     0,58646   123,51706
  15   9   9     0,58646   123,51706
  17   7   7     0,58646   123,51706
  19   5   1     0,58646   123,51706
