'y-axis saved as y
'x,85.xy,Ycalc,Diff,Gd2O3,UO2
10,105,0,0,0,0
10.02,99,0,0,0,0
10.04,103,0,0,0,0
10.06,91,0,0,0,0
10.08,107,0,0,0,0
10.1,116,0,0,0,0
10.12,109,0,0,0,0
10.14,107,0,0,0,0
10.16,100,0,0,0,0
10.18,105,0,0,0,0
10.2,115,0,0,0,0
10.22,91,0,0,0,0
10.24,100,0,0,0,0
10.26,93,0,0,0,0
10.28,114,0,0,0,0
10.3,85,0,0,0,0
10.32,97,0,0,0,0
10.34,80,0,0,0,0
10.36,94,0,0,0,0
10.38,91,0,0,0,0
10.4,99,0,0,0,0
10.42,98,0,0,0,0
10.44,89,0,0,0,0
10.46,103,0,0,0,0
10.48,107,0,0,0,0
10.5,94,0,0,0,0
10.52,91,0,0,0,0
10.54,99,0,0,0,0
10.56,108,0,0,0,0
10.58,91,0,0,0,0
10.6,87,0,0,0,0
10.62,86,0,0,0,0
10.64,79,0,0,0,0
10.66,91,0,0,0,0
10.68,101,0,0,0,0
10.7,83,0,0,0,0
10.72,85,0,0,0,0
10.74,82,0,0,0,0
10.76,81,0,0,0,0
10.78,97,0,0,0,0
10.8,89,0,0,0,0
10.82,88,0,0,0,0
10.84,85,0,0,0,0
10.86,81,0,0,0,0
10.88,86,0,0,0,0
10.9,76,0,0,0,0
10.92,77,0,0,0,0
10.94,76,0,0,0,0
10.96,81,0,0,0,0
10.98,81,0,0,0,0
11,81,0,0,0,0
11.02,72,0,0,0,0
11.04,79,0,0,0,0
11.06,78,0,0,0,0
11.08,68,0,0,0,0
11.1,70,0,0,0,0
11.12,66,0,0,0,0
11.14,76,0,0,0,0
11.16,87,0,0,0,0
11.18,81,0,0,0,0
11.2,72,0,0,0,0
11.22,105,0,0,0,0
11.24,83,0,0,0,0
11.26,76,0,0,0,0
11.28,59,0,0,0,0
11.3,95,0,0,0,0
11.32,83,0,0,0,0
11.34,84,0,0,0,0
11.36,94,0,0,0,0
11.38,86,0,0,0,0
11.4,78,0,0,0,0
11.42,73,0,0,0,0
11.44,59,0,0,0,0
11.46,70,0,0,0,0
11.48,84,0,0,0,0
11.5,59,0,0,0,0
11.52,83,0,0,0,0
11.54,82,0,0,0,0
11.56,81,0,0,0,0
11.58,98,0,0,0,0
11.6,76,0,0,0,0
11.62,72,0,0,0,0
11.64,77,0,0,0,0
11.66,61,0,0,0,0
11.68,70,0,0,0,0
11.7,72,0,0,0,0
11.72,73,0,0,0,0
11.74,51,0,0,0,0
11.76,73,0,0,0,0
11.78,67,0,0,0,0
11.8,85,0,0,0,0
11.82,84,0,0,0,0
11.84,71,0,0,0,0
11.86,77,0,0,0,0
11.88,92,0,0,0,0
11.9,80,0,0,0,0
11.92,65,0,0,0,0
11.94,60,0,0,0,0
11.96,77,0,0,0,0
11.98,70,0,0,0,0
12,72,0,0,0,0
12.02,71,0,0,0,0
12.04,81,0,0,0,0
12.06,64,0,0,0,0
12.08,66,0,0,0,0
