x,50.xy,Ycalc,Diff,Gd2O3,UO2
14.28,120,113.990649,6.00935129,0.0659030489,0
14.3,100,113.865533,-13.8655325,0.0661686876,0
14.32,126,113.741192,12.2588083,0.0664370967,0
14.34,108,113.617619,-5.61761876,0.0667083483,0
14.36,99,113.494806,-14.4948065,0.0669825177,0
14.38,126,113.372748,12.6272525,0.0672596838,0
14.4,147,113.251435,33.7485653,0.067539929,0
14.42,113,113.130861,-0.130860871,0.0678233397,0
14.44,110,113.011019,-3.01101883,0.0681100063,0
14.46,111,112.891902,-1.89190152,0.0684000237,0
14.48,106,112.773502,-6.77350192,0.0686934914,0
14.5,130,112.655813,17.344187,0.0689905138,0
14.52,112,112.538828,-0.538827915,0.0692912006,0
14.54,111,112.42254,-1.42253969,0.0695956672,0
14.56,115,112.306942,2.69305848,0.0699040351,0
14.58,107,112.192027,-5.19202661,0.0702164319,0
14.6,127,112.077788,14.9222118,0.0705329924,0
14.62,104,111.96422,-7.96421964,0.0708538587,0
14.64,109,111.851314,-2.85131425,0.0711791805,0
14.66,92,111.739065,-19.7390655,0.0715091162,0
14.68,115,111.627467,3.37253328,0.0718438332,0
14.7,113,111.516512,1.48348847,0.0721835086,0
14.72,117,111.406193,5.59380652,0.0725283299,0
14.74,95,111.296506,-16.2965062,0.0728784958,0
14.76,109,111.187443,-2.18744326,0.0732342171,0
14.78,106,111.078998,-5.07899848,0.0735957178,0
14.8,129,110.971166,18.0288344,0.0739632357,0
14.82,111,110.863938,0.136061507,0.0743370239,0
14.84,107,110.757311,-3.757311,0.0747173519,0
14.86,131,110.651277,20.3487229,0.075104507,0
14.88,106,110.545831,-4.54583077,0.0754987958,0
14.9,122,110.440966,11.5590339,0.0759005455,0
14.92,118,110.336677,7.66332276,0.0763101064,0
14.94,120,110.232958,9.76704165,0.076727853,0
14.96,110,110.129804,-0.129803705,0.0771541871,0
14.98,123,110.027208,12.9727924,0.0775895393,0
15,93,109.925165,-16.9251646,0.0780343724,0
15.02,131,109.823669,21.1763311,0.0784891841,0
15.04,113,109.722715,3.2772847,0.0789545101,0
15.06,147,109.622298,37.3777017,0.079430928,0
15.08,118,109.522413,8.4775873,0.0799190615,0
15.1,109,109.423053,-0.423053242,0.0804195845,0
15.12,109,109.324215,-0.324214854,0.0809332266,0
15.14,93,109.225893,-16.2258925,0.0814607784,0
15.16,103,109.128081,-6.12808139,0.0820030982,0
15.18,120,109.030777,10.9692234,0.0825611193,0
15.2,102,108.933974,-6.93397361,0.0831358573,0
15.22,107,108.837668,-1.83766778,0.08372842,0
15.24,99,108.741855,-9.74185476,0.0843400173,0
15.26,123,108.64653,14.3534697,0.0849719727,0
15.28,112,108.55169,3.44830966,0.0856257368,0
15.3,120,108.457331,11.542669,0.086302902,0
15.32,131,108.363448,22.6365515,0.0870052197,0
15.34,105,108.270039,-3.27003938,0.0877346197,0
15.36,101,108.1771,-7.17710044,0.0884932329,0
15.38,122,108.084629,13.9153713,0.0892834161,0
15.4,93,107.992621,-14.9926213,0.0901077824,0
15.42,104,107.901076,-3.90107612,0.0909692345,0
15.44,126,107.809991,18.190009,0.0918710045,0
15.46,117,107.719364,9.28063564,0.092816699,0
15.48,100,107.629195,-7.62919509,0.0938103527,0
15.5,105,107.539483,-2.53948259,0.0948564897,0
