'y-axis saved as y
'x,56.xy,Ycalc,Diff,Gd2O3,UO2
10,157,0,0,0,0
10.02,163,0,0,0,0
10.04,154,0,0,0,0
10.06,164,0,0,0,0
10.08,148,0,0,0,0
10.1,137,0,0,0,0
10.12,141,0,0,0,0
10.14,137,0,0,0,0
10.16,166,0,0,0,0
10.18,135,0,0,0,0
10.2,147,0,0,0,0
10.22,141,0,0,0,0
10.24,189,0,0,0,0
10.26,147,0,0,0,0
10.28,190,0,0,0,0
10.3,150,0,0,0,0
10.32,137,0,0,0,0
10.34,145,0,0,0,0
10.36,149,0,0,0,0
10.38,148,0,0,0,0
10.4,149,0,0,0,0
10.42,149,0,0,0,0
10.44,165,0,0,0,0
10.46,134,0,0,0,0
10.48,137,0,0,0,0
10.5,134,0,0,0,0
10.52,135,0,0,0,0
10.54,134,0,0,0,0
10.56,135,0,0,0,0
10.58,118,0,0,0,0
10.6,136,0,0,0,0
10.62,115,0,0,0,0
10.64,130,0,0,0,0
10.66,134,0,0,0,0
10.68,156,0,0,0,0
10.7,130,0,0,0,0
10.72,129,0,0,0,0
10.74,129,0,0,0,0
10.76,129,0,0,0,0
10.78,133,0,0,0,0
10.8,138,0,0,0,0
10.82,137,0,0,0,0
10.84,127,0,0,0,0
10.86,132,0,0,0,0
10.88,127,0,0,0,0
10.9,134,0,0,0,0
10.92,114,0,0,0,0
10.94,129,0,0,0,0
10.96,134,0,0,0,0
10.98,119,0,0,0,0
11,142,0,0,0,0
11.02,126,0,0,0,0
11.04,143,0,0,0,0
11.06,134,0,0,0,0
11.08,134,0,0,0,0
11.1,126,0,0,0,0
11.12,120,0,0,0,0
11.14,126,0,0,0,0
11.16,115,0,0,0,0
11.18,115,0,0,0,0
11.2,114,0,0,0,0
11.22,123,0,0,0,0
11.24,133,0,0,0,0
11.26,125,0,0,0,0
11.28,126,0,0,0,0
11.3,127,0,0,0,0
11.32,112,0,0,0,0
11.34,100,0,0,0,0
11.36,107,0,0,0,0
11.38,112,0,0,0,0
11.4,131,0,0,0,0
11.42,117,0,0,0,0
11.44,122,0,0,0,0
11.46,128,0,0,0,0
11.48,125,0,0,0,0
11.5,122,0,0,0,0
11.52,107,0,0,0,0
11.54,115,0,0,0,0
11.56,108,0,0,0,0
11.58,121,0,0,0,0
11.6,113,0,0,0,0
11.62,116,0,0,0,0
11.64,106,0,0,0,0
11.66,121,0,0,0,0
11.68,111,0,0,0,0
11.7,109,0,0,0,0
11.72,109,0,0,0,0
11.74,116,0,0,0,0
11.76,108,0,0,0,0
11.78,119,0,0,0,0
11.8,107,0,0,0,0
11.82,124,0,0,0,0
11.84,113,0,0,0,0
11.86,111,0,0,0,0
11.88,105,0,0,0,0
11.9,99,0,0,0,0
